City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,belmonte,-15.8631,-38.8828,72.77,72,81,9.98,BR,1667857920
313,adet,11.2644,37.4888,55.98,63,16,5.32,ET,1667857920
314,bathsheba,13.2167,-59.5167,83.01,78,20,16.11,BB,1667857921
315,chernyakhovsk,54.6335,21.8156,45.86,83,99,10.67,RU,1667857921
316,marsabit,2.3284,37.9899,69.93,62,91,11.41,KE,1667857921
317,fort nelson,58.8053,-122.7002,8.94,59,20,3.44,CA,1667857922
318,tubuala,9.5167,-79.0333,76.5,91,100,6.91,PA,1667857922
319,sao joao da barra,-21.6403,-41.0511,73.49,72,21,7.61,BR,1667857923
320,souillac,-20.5167,57.5167,71.98,83,20,4.61,MU,1667857923
321,evans,33.5337,-82.1307,81.03,60,20,8.05,US,1667857924
322,tura,25.5198,90.2201,63.84,84,2,3.4,IN,1667857811
323,oranjestad,12.524,-70.027,82.35,94,40,6.91,AW,1667857759
324,wiwili,13.6268,-85.8254,83.75,72,92,1.28,NI,1667857925
325,guerrero negro,27.9769,-114.0611,69.39,65,88,14.16,MX,1667857925
326,pauini,-7.7136,-66.9764,90.27,34,15,1.14,BR,1667857925
327,soto la marina,23.7667,-98.2167,81.77,62,63,11.59,MX,1667857926
328,atar,20.5169,-13.0499,80.92,15,0,2.77,MR,1667857927
329,caravelas,-17.7125,-39.2481,71.4,70,100,6.76,BR,1667857927
330,ambon,-3.6954,128.1814,77.23,15,20,9.22,ID,1667857928
331,nurota,40.5614,65.6886,41.4,67,100,7.38,UZ,1667857929
332,parfenyevo,58.484,43.4088,32.92,95,100,7.36,RU,1667857929
333,evensk,61.95,159.2333,25.5,84,100,3.65,RU,1667857930
334,nemuro,43.3236,145.575,44.13,66,100,4.38,JP,1667857930
335,smithers,54.7804,-127.1743,14.32,44,75,9.22,CA,1667857803
336,coolum beach,-26.5333,153.1,70.34,91,89,9.42,AU,1667857932
337,buala,-8.145,159.5921,83.16,76,90,7.4,SB,1667857933
338,furano,43.2818,142.4743,33.8,89,75,3.13,JP,1667857933
339,naze,28.3667,129.4833,61.72,67,13,9.73,JP,1667857935
340,alice springs,-23.7,133.8833,74.75,23,100,6.91,AU,1667857936
341,acapulco,16.8634,-99.8901,85.82,74,20,9.22,MX,1667857720
342,mayumba,-3.432,10.6554,77.63,90,84,6.04,GA,1667857936
343,jacareacanga,-6.2222,-57.7528,75.02,95,100,5.41,BR,1667857937
